account_id,customer_id,branch_id,account_type,open_date,current_balance,account_status
A000001,C00001,B001,Savings Account,2022-08-03,23142.6,Active
A000002,C00001,B010,Current Account,2022-12-15,138515.17,Active
A000003,C00002,B008,Current Account,2021-05-02,867.93,Active
A000004,C00003,B004,Current Account,2020-12-08,4490.44,Active
A000005,C00003,B008,Savings Account,2017-06-04,0,Active
A000006,C00004,B005,Business Account,2023-06-24,12401.76,Active
A000007,C00005,B009,Investment Account,2023-02-20,63895.02,Active
A000008,C00006,B010,Current Account,2019-04-26,1033.13,Active
A000009,C00007,B010,Current Account,2017-04-18,32040.83,Active
A000010,C00007,B003,Savings Account,2019-09-27,41421.12,Active
A000011,C00007,B002,Current Account,2021-03-28,17917.5,Active
A000012,C00008,B005,Investment Account,2017-10-04,2780.16,Active
A000013,C00008,B007,Business Account,2022-01-12,11925.61,Active
A000014,C00009,B001,Current Account,2019-11-25,53742.74,Active
A000015,C00009,B010,Business Account,2021-11-30,67600.2,Active
A000016,C00010,B005,Current Account,2017-05-18,7300.84,Active
A000017,C00011,B005,Savings Account,2022-07-28,3044.18,Active
A000018,C00011,B003,Savings Account,2016-06-19,6269.07,Active
A000019,C00012,B004,Savings Account,2017-02-28,11536.35,Active
A000020,C00013,B006,Savings Account,2020-02-06,5932.98,Active
A000021,C00014,B005,Savings Account,2022-01-23,54041.42,Active
A000022,C00014,B009,Savings Account,2016-04-23,28535.22,Active
A000023,C00014,B004,Current Account,2021-01-04,0,Active
A000024,C00015,B009,Business Account,2023-12-29,278983.88,Active
A000025,C00015,B010,Current Account,2019-05-29,0,Active
A000026,C00015,B008,Savings Account,2016-11-15,116994.08,Active
A000027,C00016,B003,Investment Account,2018-11-08,22851.02,Active
A000028,C00016,B001,Investment Account,2020-07-02,4169.32,Active
A000029,C00017,B004,Current Account,2019-10-04,972.14,Active
A000030,C00018,B001,Investment Account,2019-12-11,86890.96,Active
A000031,C00018,B007,Savings Account,2016-08-12,133453.81,Active
A000032,C00019,B002,Savings Account,2023-04-04,0,Active
A000033,C00020,B010,Current Account,2019-11-20,56817.37,Active
A000034,C00020,B007,Savings Account,2020-09-18,111188.49,Active
A000035,C00020,B001,Current Account,2018-06-17,59747.79,Active
A000036,C00021,B003,Savings Account,2023-08-21,228184.24,Active
A000037,C00021,B004,Savings Account,2023-04-03,93269.74,Active
A000038,C00021,B008,Business Account,2018-04-18,0,Active
A000039,C00021,B004,Savings Account,2019-06-14,101508.2,Active
A000040,C00022,B006,Current Account,2024-07-28,207324.52,Active
A000041,C00022,B010,Savings Account,2018-06-08,11329.24,Active
A000042,C00022,B008,Current Account,2017-06-30,68461.83,Active
A000043,C00023,B009,Savings Account,2024-12-08,53163.96,Active
A000044,C00023,B002,Business Account,2017-10-27,55883.86,Active
A000045,C00024,B008,Business Account,2024-12-12,3077.14,Active
A000046,C00024,B007,Investment Account,2020-10-11,8786.1,Active
A000047,C00025,B006,Business Account,2019-07-14,9106.99,Active
A000048,C00026,B003,Current Account,2021-03-12,467.49,Active
A000049,C00027,B001,Current Account,2017-06-04,8015.6,Dormant
A000050,C00027,B006,Current Account,2016-08-14,6615.84,Active
A000051,C00028,B006,Current Account,2017-12-26,31060.19,Active
A000052,C00029,B007,Business Account,2023-06-09,7129.06,Active
A000053,C00030,B003,Current Account,2018-05-14,33151.34,Active
A000054,C00031,B006,Savings Account,2024-12-22,2606.97,Active
A000055,C00032,B005,Business Account,2019-12-29,3127.37,Active
A000056,C00032,B005,Current Account,2020-05-30,713.68,Active
A000057,C00033,B007,Current Account,2024-12-21,8375.92,Active
A000058,C00033,B009,Savings Account,2017-03-18,36727.93,Active
A000059,C00034,B009,Current Account,2022-07-15,1472.9,Active
A000060,C00035,B004,Investment Account,2018-07-26,34107.66,Active
A000061,C00036,B002,Savings Account,2017-03-22,61966.55,Active
A000062,C00036,B001,Savings Account,2022-05-02,89769.34,Active
A000063,C00037,B009,Savings Account,2020-04-07,2280.42,Active
A000064,C00038,B010,Investment Account,2017-11-22,1293.73,Dormant
A000065,C00039,B008,Business Account,2017-12-29,5891.79,Active
A000066,C00039,B009,Business Account,2018-08-11,8508.88,Active
A000067,C00040,B007,Business Account,2017-04-24,6688.03,Active
A000068,C00041,B010,Investment Account,2019-06-12,49259.28,Active
A000069,C00041,B010,Current Account,2017-05-23,43565.56,Dormant
A000070,C00041,B005,Business Account,2021-11-14,73033.3,Active
A000071,C00042,B003,Savings Account,2020-04-19,7035.89,Active
A000072,C00042,B005,Business Account,2016-08-21,10520.69,Active
A000073,C00043,B004,Current Account,2021-01-06,8523.03,Active
A000074,C00043,B003,Investment Account,2024-07-16,6970.51,Active
