customer_id,customer_name,age,gender,country,city,customer_segment,risk_level,onboarding_date
C00001,Customer 00001,48,Male,Sweden,Stockholm,Corporate,Low,2020-08-19
C00002,Customer 00002,28,Male,Finland,Kuopio,Retail,Low,2022-06-12
C00003,Customer 00003,35,Male,Finland,Turku,Retail,Medium,2016-11-23
C00004,Customer 00004,48,Female,Sweden,Stockholm,Retail,Medium,2024-05-22
C00005,Customer 00005,36,Male,Finland,Vaasa,SME,Low,2023-08-16
C00006,Customer 00006,53,Male,Estonia,Tallinn,Retail,Low,2024-07-31
C00007,Customer 00007,28,Female,Finland,Turku,SME,Low,2024-03-21
C00008,Customer 00008,43,Female,Finland,Vaasa,Retail,Low,2018-10-28
C00009,Customer 00009,32,Male,Finland,Helsinki,SME,Low,2016-10-03
C00010,Customer 00010,71,Female,Finland,Kuopio,Retail,Low,2024-04-11
C00011,Customer 00011,53,Female,Finland,Vaasa,Retail,Low,2024-09-22
C00012,Customer 00012,25,Male,Estonia,Tallinn,Retail,Low,2021-10-21
C00013,Customer 00013,39,Female,Finland,Helsinki,Retail,Medium,2024-01-18
C00014,Customer 00014,43,Female,Finland,Vaasa,SME,Low,2018-05-10
C00015,Customer 00015,54,Male,Finland,Oulu,Corporate,Low,2017-08-08
C00016,Customer 00016,67,Female,Finland,Espoo,Premium,Low,2015-06-21
C00017,Customer 00017,18,Female,Finland,Vaasa,Student,Low,2022-09-12
C00018,Customer 00018,42,Male,Finland,Turku,Corporate,High,2020-02-26
C00019,Customer 00019,70,Other/Not specified,Estonia,Tallinn,Retail,Low,2020-06-27
C00020,Customer 00020,52,Other/Not specified,Finland,Espoo,Corporate,Low,2015-05-15
C00021,Customer 00021,34,Female,Finland,Turku,Corporate,Low,2017-08-17
C00022,Customer 00022,66,Female,Finland,Kuopio,Corporate,Medium,2016-07-11
C00023,Customer 00023,62,Male,Finland,Kuopio,Corporate,Low,2023-05-05
C00024,Customer 00024,58,Female,Finland,Jyväskylä,Retail,Low,2017-01-13
C00025,Customer 00025,70,Female,Sweden,Stockholm,Retail,Low,2020-11-29
C00026,Customer 00026,31,Female,Finland,Vaasa,Retail,Medium,2017-05-15
C00027,Customer 00027,60,Male,Finland,Kuopio,Retail,Medium,2024-08-01
C00028,Customer 00028,68,Female,Sweden,Stockholm,Premium,Low,2017-10-17
C00029,Customer 00029,28,Female,Finland,Jyväskylä,Retail,Low,2022-09-09
C00030,Customer 00030,48,Female,Finland,Kuopio,Corporate,Medium,2016-01-02
C00031,Customer 00031,53,Female,Finland,Kuopio,Retail,Low,2017-02-07
C00032,Customer 00032,28,Female,Finland,Jyväskylä,Retail,Medium,2018-03-08
C00033,Customer 00033,39,Female,Finland,Helsinki,Premium,Medium,2015-08-31
C00034,Customer 00034,74,Male,Estonia,Tallinn,Retail,Low,2022-05-15
C00035,Customer 00035,45,Male,Finland,Vaasa,Premium,High,2020-03-15
C00036,Customer 00036,42,Female,Finland,Kuopio,SME,Medium,2023-03-25
C00037,Customer 00037,71,Male,Finland,Turku,Retail,Low,2019-10-24
C00038,Customer 00038,21,Female,Finland,Turku,Student,Medium,2023-06-18
C00039,Customer 00039,46,Male,Finland,Jyväskylä,Retail,Low,2016-07-31
C00040,Customer 00040,27,Male,Finland,Helsinki,Retail,Low,2017-08-14
C00041,Customer 00041,54,Male,Finland,Jyväskylä,SME,Medium,2021-12-15
C00042,Customer 00042,35,Male,Sweden,Stockholm,Retail,Low,2016-06-19
C00043,Customer 00043,58,Female,Estonia,Tallinn,Retail,Low,2020-08-08
C00044,Customer 00044,71,Female,Finland,Jyväskylä,Retail,Low,2016-12-06
C00045,Customer 00045,66,Male,Finland,Helsinki,Retail,Medium,2016-01-16
C00046,Customer 00046,45,Male,Finland,Tampere,Retail,Low,2020-05-03
C00047,Customer 00047,55,Male,Finland,Vaasa,SME,Medium,2018-10-16
C00048,Customer 00048,50,Female,Finland,Espoo,Retail,Low,2017-01-24
C00049,Customer 00049,63,Female,Finland,Tampere,Retail,Low,2018-02-23
C00050,Customer 00050,59,Female,Finland,Kuopio,Retail,Medium,2017-02-16
C00051,Customer 00051,26,Female,Finland,Turku,Retail,Medium,2015-05-16
C00052,Customer 00052,73,Male,Finland,Jyväskylä,Retail,Low,2016-02-03
C00053,Customer 00053,39,Female,Finland,Helsinki,Retail,Low,2019-05-24
C00054,Customer 00054,34,Male,Finland,Kuopio,Premium,Medium,2019-06-18
C00055,Customer 00055,50,Male,Finland,Kuopio,Retail,Low,2016-12-31
C00056,Customer 00056,54,Male,Finland,Helsinki,Corporate,Medium,2023-04-10
C00057,Customer 00057,52,Female,Finland,Helsinki,Retail,Low,2019-05-16
C00058,Customer 00058,74,Female,Finland,Jyväskylä,Retail,Low,2017-08-23
C00059,Customer 00059,69,Male,Finland,Helsinki,Retail,Low,2015-08-07
C00060,Customer 00060,62,Female,Finland,Jyväskylä,Premium,High,2017-12-07
