flag_id,transaction_id,flag_date,flag_reason,severity,review_status
F0000001,T0000005,2025-01-05,Large Transaction,High,Open
F0000002,T0000052,2025-10-20,Unusual Location,Low,Cleared
F0000003,T0000072,2025-09-14,Large Transaction,Medium,Escalated
F0000004,T0000121,2025-12-26,International Transfer,Medium,Open
F0000005,T0000198,2025-10-17,Unusual Location,High,Cleared
F0000006,T0000219,2025-05-01,Unusual Location,Medium,Escalated
F0000007,T0000224,2025-04-14,Unusual Location,High,Escalated
F0000008,T0000229,2025-06-09,International Transfer,Medium,Cleared
F0000009,T0000243,2025-08-04,High Frequency Transfers,Medium,Cleared
F0000010,T0000280,2025-03-14,International Transfer,Low,Under Review
F0000011,T0000328,2025-05-28,Dormant Account Activity,High,Open
F0000012,T0000344,2025-09-09,International Transfer,Low,Cleared
F0000013,T0000368,2025-11-04,Possible AML Review,High,Cleared
F0000014,T0000426,2025-08-24,Unusual Location,Low,Open
F0000015,T0000447,2025-09-01,Possible AML Review,High,Cleared
F0000016,T0000586,2025-05-30,Dormant Account Activity,Medium,Cleared
F0000017,T0000598,2025-11-12,High Frequency Transfers,High,Cleared
F0000018,T0000620,2025-03-04,International Transfer,Medium,Under Review
F0000019,T0000626,2025-04-28,Possible AML Review,Critical,Open
F0000020,T0000638,2025-11-17,International Transfer,Medium,Open
F0000021,T0000646,2025-02-08,International Transfer,Critical,Cleared
F0000022,T0000648,2025-10-11,International Transfer,High,Escalated
F0000023,T0000649,2025-09-12,Possible AML Review,Critical,Under Review
F0000024,T0000660,2025-11-27,Large Transaction,Medium,Escalated
F0000025,T0000700,2025-04-27,High Frequency Transfers,Medium,Open
F0000026,T0000711,2025-05-10,High Frequency Transfers,Low,Cleared
F0000027,T0000733,2025-09-04,Large Transaction,Critical,Open
F0000028,T0000735,2025-06-26,Large Transaction,Medium,Escalated
F0000029,T0000777,2025-03-24,High Frequency Transfers,Medium,Escalated
F0000030,T0000784,2025-07-27,International Transfer,Medium,Under Review
F0000031,T0000851,2025-11-29,Dormant Account Activity,High,Open
F0000032,T0000876,2025-03-09,High Frequency Transfers,Medium,Cleared
F0000033,T0000887,2025-11-27,International Transfer,Medium,Open
F0000034,T0000895,2025-12-20,Large Transaction,Medium,Open
F0000035,T0000940,2025-10-29,Large Transaction,High,Under Review
F0000036,T0000955,2025-04-11,Possible AML Review,Critical,Cleared
F0000037,T0001020,2025-08-01,High Frequency Transfers,Medium,Cleared
F0000038,T0001028,2025-03-03,Dormant Account Activity,Medium,Under Review
F0000039,T0001037,2025-04-03,Dormant Account Activity,Low,Cleared
F0000040,T0001067,2025-06-09,Large Transaction,Medium,Cleared
F0000041,T0001073,2025-05-09,Possible AML Review,High,Open
F0000042,T0001086,2025-06-01,Unusual Location,Medium,Under Review
F0000043,T0001088,2025-10-20,International Transfer,Medium,Under Review
F0000044,T0001164,2025-03-10,Possible AML Review,Medium,Under Review
F0000045,T0001209,2025-05-06,Unusual Location,Medium,Cleared
F0000046,T0001227,2025-09-04,Unusual Location,Medium,Open
F0000047,T0001234,2025-03-23,Possible AML Review,Critical,Cleared
F0000048,T0001260,2025-04-09,International Transfer,High,Cleared
F0000049,T0001295,2025-03-28,Unusual Location,Medium,Open
F0000050,T0001327,2025-06-06,International Transfer,High,Under Review
F0000051,T0001330,2025-04-19,Unusual Location,High,Cleared
F0000052,T0001339,2025-10-04,Dormant Account Activity,Medium,Cleared
F0000053,T0001375,2025-12-16,Large Transaction,Medium,Under Review
F0000054,T0001394,2025-10-05,High Frequency Transfers,Low,Open
F0000055,T0001402,2025-04-13,Dormant Account Activity,High,Under Review
F0000056,T0001413,2025-06-10,Possible AML Review,High,Under Review
F0000057,T0001418,2025-01-16,High Frequency Transfers,Critical,Cleared
F0000058,T0001424,2025-03-23,High Frequency Transfers,Medium,Escalated
F0000059,T0001432,2025-11-18,Large Transaction,Low,Cleared
F0000060,T0001454,2025-05-07,International Transfer,High,Cleared
F0000061,T0001474,2025-03-09,Large Transaction,Medium,Cleared
F0000062,T0001489,2025-08-06,High Frequency Transfers,Medium,Under Review
