transaction_id,account_id,transaction_date,transaction_type,amount_eur,fee_eur,channel,is_international,is_flagged
T0000001,A000421,2025-01-19,Bank Transfer,4772.51,13.25,Online Banking,FALSE,FALSE
T0000002,A001048,2025-10-18,Bank Transfer,3248.8,18.0,Mobile App,TRUE,FALSE
T0000003,A002335,2025-11-02,ATM Withdrawal,163.36,0.87,ATM,FALSE,FALSE
T0000004,A001397,2025-01-01,Card Payment,2423.56,11.14,Mobile App,TRUE,FALSE
T0000005,A000342,2025-01-05,Direct Debit,420.4,3.66,Online Banking,TRUE,TRUE
T0000006,A001690,2025-02-22,Card Payment,77.96,1.63,Card,FALSE,FALSE
T0000007,A000003,2025-09-29,Salary Payment,2183.73,3.86,Online Banking,FALSE,FALSE
T0000008,A000248,2025-08-21,ATM Withdrawal,281.04,3.11,ATM,FALSE,FALSE
T0000009,A001993,2025-09-11,ATM Withdrawal,50.27,1.18,Mobile App,FALSE,FALSE
T0000010,A001228,2025-01-30,Direct Debit,69.94,1.66,Branch,FALSE,FALSE
T0000011,A001687,2025-03-31,ATM Withdrawal,455.44,2.63,Online Banking,FALSE,FALSE
T0000012,A001357,2025-04-07,Bank Transfer,699.84,4.03,Card,FALSE,FALSE
T0000013,A000847,2025-04-21,Salary Payment,12749.64,19.31,Online Banking,FALSE,FALSE
T0000014,A002342,2025-11-02,Direct Debit,155.57,0.25,Mobile App,FALSE,FALSE
T0000015,A001373,2025-05-24,ATM Withdrawal,223.29,1.13,Card,FALSE,FALSE
T0000016,A002149,2025-05-09,ATM Withdrawal,61.54,2.1,ATM,FALSE,FALSE
T0000017,A000637,2025-08-15,Bank Transfer,396.44,2.95,Mobile App,FALSE,FALSE
T0000018,A000266,2025-06-28,Loan Payment,401.36,1.48,Mobile App,FALSE,FALSE
T0000019,A000908,2025-09-25,Card Payment,11.56,1.61,Mobile App,FALSE,FALSE
T0000020,A002116,2025-02-06,Salary Payment,5322.81,10.45,Mobile App,FALSE,FALSE
T0000021,A001356,2025-01-18,ATM Withdrawal,68.78,0.54,Card,FALSE,FALSE
